DATE	SMB	HML
20050323	-0,85	-0,52
20050324	0,49	-0,09
20050328	-0,21	0,00
20050329	-0,82	0,14
20050330	0,16	-0,18
20050331	-0,06	0,64
20050401	0,00	0,42
20050404	0,00	0,16
20050405	-0,14	-0,29
20050406	-0,10	0,05
20050407	-0,01	-0,24
20050408	-0,45	0,03
20050411	-0,66	0,12
20050412	0,23	-0,05
20050413	-0,30	-0,11
20050414	-0,53	-0,14
20050415	-0,14	-0,36
20050418	0,31	0,17
20050419	0,82	0,11
20050420	-0,24	0,09
20050421	0,37	-0,60
20050422	-0,87	0,46
20050425	0,07	0,04
20050426	-0,49	-0,02
20050427	-0,52	-0,16
20050428	-0,98	0,42
20050429	-0,41	-0,05
20050502	0,47	0,07
20050503	0,03	-0,36
20050504	0,23	0,39
20050505	0,30	-0,29
20050506	0,33	0,11
20050509	0,32	0,05
20050510	-0,15	0,05
20050511	-0,41	-0,09
20050512	-0,17	-0,65
20050513	-0,08	-0,62
20050516	0,52	-0,22
20050517	-0,25	0,31
20050518	0,97	-0,40
20050519	-0,08	-0,01
20050520	-0,07	0,21
20050523	0,22	-0,01
20050524	-0,01	0,03
20050525	-0,57	0,20
20050526	0,64	0,07
20050527	0,08	0,30
20050531	0,45	0,32
20050601	0,17	0,06
20050602	0,14	-0,25
20050603	-0,21	0,50
20050606	0,32	0,12
20050607	0,16	0,06
20050608	-0,38	0,31
20050609	0,32	0,00
20050610	0,10	0,43
20050613	0,17	0,09
20050614	0,44	0,46
20050615	0,26	0,13
20050616	0,62	-0,30
20050617	-0,61	0,24
20050620	-0,34	0,08
20050621	0,11	-0,02
20050622	0,26	0,03
20050623	-0,42	0,24
20050624	-0,05	0,17
20050627	-0,13	0,56
20050628	1,09	-0,51
20050629	0,32	0,05
20050630	0,21	0,25
20050701	0,11	0,34
20050705	0,56	-0,18
20050706	0,07	0,08
20050707	-0,10	-0,22
20050708	0,80	-0,58
20050711	0,79	-0,16
20050712	-0,28	-0,03
20050713	-0,40	0,06
20050714	-0,66	-0,43
20050715	-0,04	0,00
20050718	-0,16	0,10
20050719	0,89	-0,17
20050720	0,79	-0,36
20050721	-0,64	0,17
20050722	0,91	0,48
20050725	-0,51	0,15
20050726	0,27	0,23
20050727	-0,37	-0,07
20050728	0,54	-0,25
20050729	0,24	0,12
20050801	0,28	-0,13
20050802	0,04	0,07
20050803	-0,68	-0,02
20050804	-0,84	0,40
20050805	-0,31	-0,03
20050808	-0,05	0,20
20050809	-0,46	-0,05
20050810	-0,01	0,15
20050811	0,19	-0,08
20050812	-0,40	0,12
20050815	0,48	-0,14
20050816	-0,46	0,18
20050817	0,01	-0,07
20050818	-0,42	0,10
20050819	0,07	0,17
20050822	0,49	0,15
20050823	-0,01	-0,02
20050824	0,45	0,16
20050825	0,13	0,20
20050826	-0,58	-0,09
20050829	0,36	-0,23
20050830	-0,01	0,35
20050831	0,70	-0,06
20050901	-0,05	0,26
20050902	-0,30	0,01
20050906	0,30	-0,45
20050907	0,10	-0,16
20050908	-0,11	-0,10
20050909	-0,11	0,12
20050912	0,52	-0,24
20050913	-0,20	0,16
20050914	-0,69	0,47
20050915	-0,25	0,30
20050916	0,16	-0,07
20050919	-0,18	0,23
20050920	-0,10	0,11
20050921	-0,54	0,28
20050922	-0,06	-0,24
20050923	0,53	0,14
20050926	0,55	0,00
20050927	-0,07	-0,10
20050928	-0,58	0,21
20050929	0,21	0,06
20050930	0,29	-0,22
20051003	0,47	0,02
20051004	0,21	-0,14
20051005	-1,02	-0,17
20051006	-0,32	0,10
20051007	0,30	0,27
20051010	-0,07	-0,20
20051011	-0,98	0,16
20051012	-0,57	0,06
20051013	0,44	-0,51
20051014	0,52	-0,11
20051017	-0,34	0,00
20051018	-0,03	-0,07
20051019	0,45	-0,12
20051020	0,04	-0,38
20051021	0,36	0,28
20051024	0,16	0,23
20051025	-0,33	0,08
20051026	-0,26	0,20
20051027	-1,05	0,40
20051028	-0,03	0,29
20051031	0,81	0,05
20051101	-0,23	0,27
20051102	0,84	-0,01
20051103	-0,08	-0,15
20051104	0,09	-0,24
20051107	0,21	-0,05
20051108	-0,34	-0,02
20051109	0,27	-0,01
20051110	-0,06	-0,50
20051111	-0,04	-0,14
20051114	-0,33	0,08
20051115	-0,63	-0,17
20051116	-0,37	0,00
20051117	0,69	-0,13
20051118	0,28	-0,21
20051121	0,45	-0,35
20051122	-0,04	0,00
20051123	-0,26	0,19
20051125	-0,12	-0,08
20051128	-0,70	0,24
20051129	0,26	0,25
20051130	1,15	-0,14
20051201	0,51	0,05
20051202	0,06	-0,10
20051205	-0,22	0,01
20051206	0,07	0,03
20051207	-0,07	0,04
20051208	0,26	0,06
20051209	0,21	0,06
20051212	0,11	-0,09
20051213	-0,56	-0,18
20051214	-0,25	0,05
20051215	-0,55	-0,39
20051216	0,02	-0,07
20051219	-0,82	0,26
20051220	-0,03	0,02
20051221	0,68	-0,31
20051222	0,15	-0,05
20051223	0,30	-0,01
20051227	-0,44	0,16
20051228	0,38	0,09
20051229	-0,01	0,24
20051230	-0,21	0,24
20060103	-0,17	0,16
20060104	0,36	0,02
20060105	0,30	-0,10
20060106	0,10	-0,25
20060109	0,53	-0,18
20060110	0,57	0,03
20060111	-0,23	-0,09
20060112	0,09	0,02
20060113	0,14	0,09
20060117	-0,33	0,19
20060118	0,35	0,28
20060119	0,94	-0,10
20060120	0,36	0,50
20060123	0,18	0,40
20060124	1,04	0,07
20060125	-0,01	-0,08
20060126	0,79	0,00
20060127	-0,13	-0,18
20060130	-0,27	0,22
20060131	0,57	-0,03
20060201	0,19	-0,01
20060202	-0,28	-0,07
20060203	0,22	0,01
20060206	0,25	0,51
20060207	-0,49	-0,21
20060208	-0,24	-0,11
20060209	-0,14	-0,26
20060210	-0,38	0,00
20060213	-0,53	0,18
20060214	0,25	-0,12
20060215	0,43	-0,49
20060216	0,06	0,21
20060217	-0,05	0,32
20060221	-0,23	0,10
20060222	0,03	-0,07
20060223	0,22	-0,25
20060224	0,33	0,18
20060227	0,20	-0,35
20060228	-0,23	0,11
20060301	0,69	-0,02
20060302	-0,10	0,09
20060303	-0,03	-0,04
20060306	-0,21	-0,11
20060307	-1,09	0,07
20060308	-0,05	0,04
20060309	0,00	0,27
20060310	0,38	0,04
20060313	-0,03	0,15
20060314	0,04	0,01
20060315	0,40	0,13
20060316	-0,16	0,25
20060317	0,13	-0,29
20060320	0,17	-0,31
20060321	-0,52	-0,05
20060322	0,50	0,06
20060323	0,52	0,02
20060324	0,67	0,23
20060327	0,15	0,28
20060328	0,24	-0,07
20060329	0,83	0,08
20060330	0,15	-0,21
20060331	0,70	-0,03
20060403	-0,90	0,64
20060404	-0,27	0,06
20060405	-0,01	0,27
20060406	0,17	0,04
20060407	-0,11	-0,14
20060410	-0,41	0,06
20060411	-0,67	0,02
20060412	0,59	-0,04
20060413	0,38	-0,13
20060417	-0,03	0,24
20060418	0,64	0,08
20060419	0,85	-0,01
20060420	-0,45	0,04
20060421	-0,20	0,20
20060424	-0,41	0,01
20060425	0,44	0,01
20060426	-0,13	0,29
20060427	-0,92	0,11
20060428	0,12	0,47
20060501	0,00	0,35
20060502	0,18	0,51
20060503	0,42	0,04
20060504	0,59	-0,28
20060505	-0,27	-0,04
20060508	0,07	0,07
20060509	-0,14	0,14
20060510	-0,60	0,47
20060511	-1,12	0,29
20060512	-0,70	-0,07
20060515	-0,90	-0,26
20060516	0,08	0,39
20060517	0,13	0,21
20060518	-0,32	0,18
20060519	0,12	0,02
20060522	-0,72	0,30
20060523	0,06	-0,09
20060524	-0,07	-0,08
20060525	0,68	-0,07
20060526	-0,14	-0,19
20060530	-0,79	0,18
20060531	0,38	0,37
20060601	0,80	-0,14
20060602	-0,09	0,18
20060605	-1,16	0,26
20060606	-0,16	-0,02
20060607	0,03	-0,15
20060608	-0,22	0,07
20060609	-0,27	0,04
20060612	-1,26	0,29
20060613	-0,35	-0,37
20060614	0,21	-0,26
20060615	1,04	0,19
20060616	-0,71	-0,02
20060619	-0,78	0,19
20060620	-0,37	0,04
20060621	0,75	-0,18
20060622	0,15	0,12
20060623	0,23	0,16
20060626	0,53	0,21
20060627	-0,73	0,31
20060628	-0,35	0,15
20060629	1,42	-0,29
20060630	1,13	0,06
20060703	-0,07	-0,22
20060705	-0,55	0,31
20060706	-0,06	0,07
20060707	-0,87	0,68
20060710	-0,30	0,57
20060711	0,31	-0,07
20060712	-0,67	0,27
20060713	-0,58	0,18
20060714	-0,34	0,16
20060717	-0,45	0,05
20060718	0,18	0,33
20060719	0,93	-0,27
20060720	-1,62	0,68
20060721	-0,84	0,23
20060724	0,93	-0,55
20060725	0,24	-0,18
20060726	-0,32	0,33
20060727	-0,73	0,31
20060728	0,66	-0,08
20060731	0,27	-0,15
20060801	-1,00	0,40
20060802	0,35	-0,30
20060803	0,89	-0,43
20060804	-0,42	0,07
20060807	-0,29	0,10
20060808	-0,79	0,11
20060809	-0,41	-0,03
20060810	0,37	-0,36
20060811	-0,57	0,15
20060814	0,27	-0,23
20060815	0,77	-0,45
20060816	0,60	-0,50
20060817	0,34	-0,21
20060818	-0,16	-0,14
20060821	-0,49	0,11
20060822	0,26	0,03
20060823	-0,78	0,17
20060824	-0,19	0,08
20060825	0,21	-0,21
20060828	0,42	-0,09
20060829	0,94	-0,18
20060830	0,72	-0,30
20060831	-0,01	0,27
20060901	-0,27	-0,10
20060905	0,51	0,02
20060906	-1,02	0,42
20060907	-0,17	0,20
20060908	-0,08	-0,14
20060911	-0,13	-0,03
20060912	1,18	-0,29
20060913	0,39	-0,04
20060914	-0,23	0,03
20060915	-0,03	-0,17
20060918	0,00	-0,23
20060919	-0,23	0,13
20060920	0,59	-0,02
20060921	-0,35	0,04
20060922	-0,86	0,41
20060925	0,20	0,11
20060926	-0,35	-0,22
20060927	0,34	-0,09
20060928	-0,11	-0,16
20060929	-0,62	0,17
20061002	-0,54	0,19
20061003	-0,38	0,42
20061004	0,73	-0,46
20061005	0,90	-0,31
20061006	-0,05	-0,11
20061009	0,42	0,07
20061010	-0,03	-0,05
20061011	-0,31	0,21
20061012	0,97	-0,26
20061013	0,48	-0,05
20061016	0,61	-0,23
20061017	-0,24	0,35
20061018	-0,32	0,07
20061019	0,51	-0,25
20061020	-0,67	-0,09
20061023	-0,42	-0,22
20061024	-0,21	0,19
20061025	0,17	-0,03
20061026	0,40	0,20
20061027	-0,31	0,03
20061030	0,40	0,16
20061031	-0,36	-0,16
20061101	-1,04	0,31
20061102	-0,24	0,02
20061103	0,51	-0,01
20061106	0,26	-0,14
20061107	0,07	-0,24
20061108	0,28	0,31
20061109	-0,47	0,31
20061110	0,65	0,08
20061113	0,16	0,01
20061114	0,93	-0,24
20061115	0,56	-0,33
20061116	-0,33	0,13
20061117	-0,32	-0,22
20061120	0,22	0,02
20061121	0,02	-0,14
20061122	-0,10	-0,24
20061124	0,22	0,07
20061127	-1,02	0,30
20061128	0,02	-0,03
20061129	0,16	-0,08
20061130	0,14	0,15
20061201	-0,38	0,13
20061204	0,86	-0,17
20061205	-0,20	0,24
20061206	-0,09	0,14
20061207	-0,04	0,06
20061208	-0,16	-0,09
20061211	-0,30	0,64
20061212	-0,53	0,46
20061213	-0,03	0,14
20061214	-0,14	-0,10
20061215	-0,34	0,38
20061218	-0,95	0,20
20061219	-0,13	0,02
20061220	0,55	0,10
20061221	0,02	0,36
20061222	0,28	0,07
20061226	0,32	0,39
20061227	0,53	-0,09
20061228	-0,17	-0,03
20061229	-0,27	-0,12
20070103	0,03	0,20
20070104	0,23	-0,51
20070105	-0,94	-0,29
20070108	-0,09	0,04
20070109	0,29	-0,31
20070110	-0,10	-0,19
20070111	0,60	-0,35
20070112	0,23	-0,30
20070116	-0,28	0,01
20070117	-0,23	-0,04
20070118	-1,03	0,42
20070119	0,40	0,09
20070122	-0,49	0,31
20070123	0,57	0,04
20070124	0,27	-0,23
20070125	-0,06	-0,10
20070126	0,53	0,12
20070129	0,59	0,23
20070130	0,00	0,17
20070131	-0,39	0,00
20070201	0,32	-0,19
20070202	0,09	0,20
20070205	-0,25	0,12
20070206	0,26	0,23
20070207	0,38	0,07
20070208	0,26	-0,26
20070209	-0,38	0,18
20070212	0,21	0,12
20070213	-0,18	0,30
20070214	-0,49	-0,19
20070215	0,16	-0,41
20070216	0,26	0,05
20070220	0,62	-0,14
20070221	0,32	-0,22
20070222	0,37	-0,12
20070223	0,15	-0,28
20070226	-0,14	0,07
20070227	-0,21	0,18
20070228	-0,50	0,21
20070301	-0,12	0,16
20070302	-0,66	0,29
20070305	-0,69	-0,30
20070306	0,66	-0,02
20070307	-0,10	0,07
20070308	-0,03	-0,06
20070309	0,28	0,15
20070312	0,30	-0,21
20070313	-0,22	-0,25
20070314	0,10	-0,06
20070315	0,49	0,17
20070316	-0,09	-0,19
20070319	-0,09	-0,09
20070320	0,04	0,12
20070321	-0,10	-0,12
20070322	0,23	-0,42
20070323	0,08	0,05
20070326	-0,04	-0,17
20070327	-0,18	-0,05
20070328	0,21	0,02
20070329	-0,20	0,11
20070330	0,31	-0,10
20070402	0,08	-0,20
20070403	0,06	-0,07
20070404	-0,19	-0,25
20070405	0,03	-0,15
20070409	-0,23	0,02
20070410	0,07	0,03
20070411	-0,11	0,12
20070412	0,23	-0,16
20070413	0,23	-0,06
20070416	0,28	0,03
20070417	-0,43	-0,07
20070418	-0,74	0,54
20070419	-0,37	-0,08
20070420	0,22	-0,04
20070423	0,07	-0,33
20070424	-0,07	-0,23
20070425	-0,39	0,21
20070426	0,31	-0,30
20070427	-0,31	-0,39
20070430	-0,88	-0,03
20070501	-0,07	-0,02
20070502	0,61	0,03
20070503	-0,34	0,15
20070504	0,17	0,02
20070507	-0,38	0,28
20070508	-0,03	-0,11
20070509	0,08	-0,05
20070510	-0,52	0,26
20070511	0,19	0,02
20070514	-0,59	-0,01
20070515	-0,75	0,16
20070516	-0,20	0,05
20070517	-0,35	-0,02
20070518	0,42	-0,50
20070521	0,89	-0,19
20070522	0,71	0,02
20070523	-0,22	-0,17
20070524	-0,39	-0,07
20070525	0,23	-0,07
20070529	0,60	-0,03
20070530	-0,21	-0,05
20070531	0,36	-0,32
20070601	0,29	0,09
20070604	0,06	-0,02
20070605	-0,13	-0,22
20070606	0,10	0,02
20070607	-0,03	0,10
20070608	-0,01	-0,05
20070611	-0,32	0,17
20070612	-0,20	-0,08
20070613	-0,21	-0,17
20070614	0,14	-0,13
20070615	0,50	0,00
20070618	-0,02	-0,03
20070619	0,01	0,09
20070620	0,08	-0,17
20070621	-0,19	-0,02
20070622	0,58	0,00
20070625	-0,39	-0,08
20070626	0,16	-0,21
20070627	0,48	-0,36
20070628	0,18	0,06
20070629	-0,33	-0,05
20070702	-0,09	0,10
20070703	-0,04	-0,12
20070705	0,20	-0,56
20070706	-0,07	-0,07
20070709	0,05	-0,07
20070710	-0,17	-0,37
20070711	-0,30	-0,09
20070712	-0,18	-0,25
20070713	-0,29	0,05
20070716	-0,44	-0,33
20070717	0,15	-0,18
20070718	-0,22	-0,21
20070719	0,32	-0,46
20070720	-0,27	-0,22
20070723	-0,41	-0,49
20070724	-0,53	-0,32
20070725	-0,41	0,07
20070726	-0,09	-0,24
20070727	-0,10	0,08
20070730	-0,28	-0,08
20070731	0,35	-0,10
20070801	-0,51	-0,28
20070802	0,14	-0,27
20070803	-0,65	-0,79
20070806	-1,14	-0,44
20070807	0,30	-0,62
20070808	1,22	-0,69
20070809	1,69	-0,59
20070810	-0,04	1,42
20070813	-1,16	0,25
20070814	-0,06	-0,15
20070815	0,03	0,00
20070816	1,26	1,34
20070817	-0,44	0,41
20070820	0,14	-0,34
20070821	-0,01	0,00
20070822	0,06	-0,02
20070823	-1,00	0,20
20070824	0,11	-0,26
20070827	-0,11	-0,16
20070828	-0,08	-0,40
20070829	0,13	0,02
20070830	-0,01	-0,44
20070831	0,06	-0,02
20070904	-0,20	0,01
20070905	-0,02	-0,33
20070906	-0,01	-0,19
20070907	-0,32	0,21
20070910	-0,49	-0,21
20070911	0,05	-0,32
20070912	-0,46	-0,16
20070913	-0,63	0,22
20070914	0,37	-0,10
20070917	-0,43	0,01
20070918	0,62	0,44
20070919	0,59	0,20
20070920	-0,14	-0,33
20070921	-0,21	-0,26
20070924	-0,39	-0,63
20070925	-0,29	-0,39
20070926	0,19	-0,21
20070927	0,17	-0,05
20070928	-0,54	-0,01
20071001	0,82	0,06
20071002	0,67	0,21
20071003	-0,21	-0,11
20071004	-0,05	0,09
20071005	0,65	-0,05
20071008	-0,19	-0,36
20071009	-0,19	-0,21
20071010	0,00	-0,42
20071011	-0,66	0,48
20071012	0,13	-0,33
20071015	-0,39	-0,14
20071016	-0,05	-0,29
20071017	-0,16	-0,19
20071018	0,10	-0,41
20071019	-0,51	-0,01
20071022	0,90	0,05
20071023	0,09	-0,63
20071024	-0,46	-0,26
20071025	-0,32	-0,13
20071026	0,29	0,36
20071029	-0,28	-0,54
20071030	0,07	0,15
20071031	-0,02	-0,14
20071101	-0,90	-0,46
20071102	0,20	-0,87
20071105	-0,33	-0,02
20071106	0,02	-0,17
20071107	-0,10	-0,50
20071108	0,54	1,13
20071109	0,17	0,89
20071112	0,39	0,28
20071113	-0,45	0,15
20071114	-0,17	-0,22
20071115	-0,01	-0,07
20071116	-0,57	-0,66
20071119	-0,29	-0,38
20071120	-0,62	-0,13
20071121	0,40	0,08
20071123	0,19	0,21
20071126	-0,14	-0,58
20071127	-0,52	-0,20
20071128	0,35	-0,17
20071129	-0,52	-0,31
20071130	-0,61	0,88
20071203	-0,59	0,23
20071204	-0,17	-0,20
20071205	0,02	-0,06
20071206	0,85	0,37
20071207	0,08	-0,12
20071210	-0,13	0,19
20071211	-0,30	-0,08
20071212	0,02	-0,21
20071213	-0,32	-0,34
20071214	-0,50	-0,30
20071217	-0,24	0,29
20071218	1,18	-0,03
20071219	0,32	-0,39
20071220	0,85	-0,33
20071221	0,35	0,01
20071224	0,11	0,16
20071226	0,22	-0,08
20071227	-1,18	0,07
20071228	-0,39	-0,11
20071231	0,01	0,41
20080102	-0,09	-0,07
20080103	-1,02	-0,40
20080104	-0,47	0,04
20080107	0,13	0,17
20080108	-0,42	-0,94
20080109	-0,35	-0,64
20080110	-0,09	0,51
20080111	-0,76	0,29
20080114	-0,07	-0,13
20080115	0,41	-0,05
20080116	0,91	1,10
20080117	0,36	-0,07
20080118	-0,27	-0,78
20080122	0,27	1,32
20080123	0,63	1,75
20080124	-0,96	-0,44
20080125	0,84	0,15
20080128	0,02	1,02
20080129	-0,53	1,07
20080130	-0,44	-0,04
20080131	0,83	0,50
20080201	0,74	0,04
20080204	0,16	-0,19
20080205	0,42	0,07
20080206	-0,39	0,50
20080207	0,35	0,17
20080208	-0,11	-0,33
20080211	-0,21	-0,54
20080212	-0,13	-0,03
20080213	0,70	-0,05
20080214	-0,80	0,14
20080215	-0,92	0,46
20080219	0,19	-0,28
20080220	0,20	0,06
20080221	-0,36	-0,26
20080222	-0,88	0,58
20080225	0,50	-0,14
20080226	0,36	-0,02
20080227	-0,01	-0,24
20080228	-0,41	-0,48
20080229	0,11	-0,19
20080303	-0,28	-0,39
20080304	0,02	0,09
20080305	-0,23	-0,37
20080306	-0,47	-0,21
20080307	0,22	0,69
20080310	-0,62	0,62
20080311	0,23	0,31
20080312	0,16	-0,73
20080313	1,31	-0,17
20080314	-0,21	-0,34
20080317	-0,84	0,52
20080318	0,06	-0,17
20080319	0,02	0,19
20080320	-0,11	0,81
20080324	1,13	-0,59
20080325	0,44	-0,12
20080326	0,59	-0,49
20080327	-0,18	-0,01
20080328	-0,47	0,22
20080331	0,05	0,43
20080401	-0,66	0,07
20080402	0,48	-0,21
20080403	-0,07	-0,15
20080404	0,09	-0,51
20080407	-0,45	0,48
20080408	0,29	-0,13
20080409	-0,83	-0,14
20080410	0,68	-0,55
20080411	-0,63	0,47
20080414	0,13	-0,30
20080415	0,29	0,40
20080416	0,49	0,10
20080417	-0,86	0,37
20080418	0,11	-0,56
20080421	-0,11	-0,63
20080422	-1,15	0,39
20080423	0,22	-1,21
20080424	0,58	0,40
20080425	-0,22	0,21
20080428	0,57	0,14
20080429	-0,45	0,39
20080430	-0,09	0,00
20080501	0,11	0,27
20080502	-0,76	0,04
20080505	0,31	-0,20
20080506	-0,08	0,37
20080507	0,03	-0,16
20080508	0,11	-0,29
20080509	0,59	-0,20
20080512	0,68	-0,40
20080513	0,65	-0,12
20080514	-0,39	0,10
20080515	-0,10	-0,28
20080516	-0,42	0,00
20080519	-0,27	0,14
20080520	0,57	-0,17
20080521	0,42	0,25
20080522	0,29	0,05
20080523	0,13	-0,36
20080527	0,56	-0,14
20080528	-0,07	-0,13
20080529	0,32	-0,23
20080530	0,23	0,00
20080602	0,13	0,22
20080603	0,29	0,01
20080604	0,68	-0,67
20080605	0,37	-0,15
20080606	0,16	-0,04
20080609	-0,54	-0,40
20080610	0,00	-0,18
20080611	-0,20	-0,03
20080612	-0,03	0,05
20080613	0,32	-0,43
20080616	0,85	-0,11
20080617	0,11	-0,23
20080618	0,18	0,19
20080619	0,58	-0,64
20080620	0,27	0,16
20080623	-0,65	-0,31
20080624	-1,18	0,28
20080625	0,40	-0,42
20080626	0,53	0,15
20080627	0,21	-0,50
20080630	-1,23	0,23
20080701	-0,43	0,31
20080702	-0,89	0,16
20080703	-0,63	-0,24
20080707	0,18	-1,26
20080708	1,00	2,27
